path,source_path,current_vocab,source_vocab,restored,conflicts,skipped_text_changed,status
books/NT/1corinthians/1Corinthians_01.md,books/NT/1corinthians/1Corinthians_01.md,16,14,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_02.md,books/NT/1corinthians/1Corinthians_02.md,30,26,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_03.md,books/NT/1corinthians/1Corinthians_03.md,34,30,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_04.md,books/NT/1corinthians/1Corinthians_04.md,38,34,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_05.md,books/NT/1corinthians/1Corinthians_05.md,32,28,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_06.md,books/NT/1corinthians/1Corinthians_06.md,40,36,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_07.md,books/NT/1corinthians/1Corinthians_07.md,35,30,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_08.md,books/NT/1corinthians/1Corinthians_08.md,32,28,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_09.md,books/NT/1corinthians/1Corinthians_09.md,40,36,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_10.md,books/NT/1corinthians/1Corinthians_10.md,38,34,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_11.md,books/NT/1corinthians/1Corinthians_11.md,27,24,0,1,0,CONFLICTS_ONLY
books/NT/1corinthians/1Corinthians_12.md,books/NT/1corinthians/1Corinthians_12.md,25,21,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_13.md,books/NT/1corinthians/1Corinthians_13.md,12,9,0,1,0,CONFLICTS_ONLY
books/NT/1corinthians/1Corinthians_14.md,books/NT/1corinthians/1Corinthians_14.md,39,34,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_15.md,books/NT/1corinthians/1Corinthians_15.md,40,36,0,0,0,NO_LOST_VOCABULARY
books/NT/1corinthians/1Corinthians_16.md,books/NT/1corinthians/1Corinthians_16.md,40,36,0,0,0,NO_LOST_VOCABULARY
books/NT/1john/1John_01.md,books/NT/1john/1John_01.md,24,20,0,0,0,NO_LOST_VOCABULARY
books/NT/1john/1John_02.md,books/NT/1john/1John_02.md,28,24,0,0,0,NO_LOST_VOCABULARY
books/NT/1john/1John_03.md,books/NT/1john/1John_03.md,13,13,0,0,0,NO_LOST_VOCABULARY
books/NT/1john/1John_04.md,books/NT/1john/1John_04.md,19,16,0,0,0,NO_LOST_VOCABULARY
