1:1|F2|In the days when the judges governed, a famine struck the land. A man from Bethlehem in Judah went to live for a time in the country of Moab, taking his wife and two sons.|Sets the judges-era frame and temporary residence before the family moves.
1:2|F2|The man was named Elimelech, his wife Naomi, and his two sons Mahlon and Chilion. They were Ephrathites from Bethlehem in Judah. They came to Moab and stayed there.|Separates names, origin and arrival without losing Ephrathite identity.
1:3|F2|Then Naomi’s husband Elimelech died, leaving her with her two sons.|Keeps Naomi at the center of the first bereavement.
1:4|F2|Her sons married Moabite women, one named Orpah and the other Ruth. They lived there for about ten years.|Retains approximate duration and the women’s Moabite identity.
1:5|F2|Then both Mahlon and Chilion died too. The woman was left without her two children and without her husband.|Preserves the narrator’s repeated loss and designation of sons as children.
1:6|F2|Naomi set out with her daughters-in-law to return from Moab. While there, she had heard that the LORD had attended to his people and given them food.|Makes the reason for returning audible while preserving divine attention.
1:7|F2|She left the place where she had been living, with both daughters-in-law beside her. They took the road back to the land of Judah.|Keeps both women present and the return motif explicit.
1:8|F2|Naomi said to her two daughters-in-law, “Go, return, each of you, to your mother’s home. May the LORD show you steadfast love, as you have shown it to the dead and to me.|Retains mother’s household and reciprocal hesed rather than replacing it with general kindness.
1:9|F2|May the LORD grant each of you rest in the home of a husband.” She kissed them, and they wept aloud.|Preserves rest as a recurring image rather than explaining it away.
1:10|F2|They said to her, “No, we will return with you to your people.”|Gives ki its responsive insistence and repeats return.
1:11|F2|But Naomi said, “Return, my daughters. Why would you come with me? Do I still have sons in my womb who could become your husbands?|Keeps the womb question and proposed family relationship explicit.
1:12|F2|Return, my daughters. Go. I am too old to marry again. Even if I thought there was hope for me, even if I had a husband tonight and then bore sons,|Maintains the escalating hypothetical across the verse boundary.
1:13|F3|would you wait until they grew up? Would you keep yourselves from marrying for their sake? No, my daughters. My bitterness is greater than yours, for the LORD’s hand has turned against me.”|Chooses comparative mikkem while noting alternative for-your-sake; preserves Naomi’s accusation.
1:14|F2|Again they wept aloud. Orpah kissed her mother-in-law goodbye, but Ruth held tightly to her.|Contrasts farewell and clinging without judging Orpah.
1:15|F3|Naomi said, “Look, your sister-in-law has returned to her people and her gods. Return with her.”|Retains plural gods and sister-in-law relationship.
