9:1|Jesus called the Twelve together and gave them power and authority over all demons and power to heal diseases.|Distinguishes power and authority while retaining their scope over demons and illness.
9:2|He sent them out to proclaim the kingdom of God and to heal the sick.|Keeps proclamation and healing as the two purposes of the mission.
9:3|He told them, “Take nothing for the journey—no staff, bag, bread, or money, and do not have two tunics apiece.|Preserves every prohibited provision and the specific number of tunics.
9:4|Whatever house you enter, stay there until you leave that place.|Keeps one household as the stable base for each location.
9:5|Wherever people do not welcome you, leave that town and shake the dust from your feet as a testimony against them.”|Retains rejection, public departure, dust gesture, and its witness function.
9:6|So they set out and traveled from village to village, bringing the good news and healing everywhere.|Keeps the mission’s movement and repeated pairing of good news with healing.
9:7|Herod the tetrarch heard about everything that was happening, and he was perplexed because some were saying that John had been raised from the dead,|Retains Herod’s title, comprehensive report, perplexity, and first explanation.
9:8|others that Elijah had appeared, and still others that one of the ancient prophets had risen.|Keeps all three reported possibilities distinct.
9:9|Herod said, “I beheaded John. Who, then, is this man I hear such things about?” And he kept trying to see Jesus.|Preserves Herod’s responsibility, identity question, and sustained desire to see Jesus.
9:10|When the apostles returned, they reported to Jesus everything they had done. He took them with him and withdrew privately to a town called Bethsaida.|Keeps the apostles’ report, private withdrawal, and pinned place name.
9:11|But the crowds learned about it and followed him. He welcomed them, spoke to them about the kingdom of God, and healed those who needed healing.|Retains welcome, kingdom speech, and need-based healing.
9:12|As the day began to draw to a close, the Twelve came to him and said, “Send the crowd away so they can go into the surrounding villages and countryside to find lodging and food, because we are here in a deserted place.”|Keeps the late hour, both needs, and deserted setting.
9:13|But he said to them, “You give them something to eat.” They replied, “We have no more than five loaves and two fish—unless we go and buy food for all these people.”|Preserves the emphatic “you,” exact food count, and disciples’ proposed alternative.
9:14|There were about five thousand men. Jesus told his disciples, “Have them sit down in groups of about fifty each.”|Keeps the gender-specific count and approximate group size.
9:15|They did so and had everyone sit down.|Retains the disciples’ complete compliance.
9:16|Taking the five loaves and two fish, Jesus looked up to heaven, blessed them, broke them, and kept giving them to the disciples to set before the crowd.|Preserves the sequence and the ongoing distribution through the disciples.
9:17|They all ate and were satisfied. The leftovers were gathered up—twelve baskets of broken pieces.|Keeps universal satisfaction and exact remainder count.
9:18|Once, while Jesus was praying alone and the disciples were with him, he asked them, “Who do the crowds say I am?”|Preserves Luke’s prayer setting and clarifies the disciples’ presence.
9:19|They answered, “John the Baptist; others say Elijah; and still others say that one of the ancient prophets has risen.”|Retains the three crowd answers and resurrection language.
9:20|“But you,” he asked, “who do you say I am?” Peter answered, “God’s Messiah.”|Keeps the emphatic contrast, named respondent, and concise confession.
9:21|Jesus warned them sternly and ordered them not to tell this to anyone.|Retains both rebuke-like warning and command to silence.
9:22|He said, “The Son of Man must suffer many things, be rejected by the elders, chief priests, and scribes, be killed, and be raised on the third day.”|Preserves necessity, all three rejecting groups, death, and third-day raising.
9:23|Then he said to everyone, “If anyone wants to come after me, they must deny themselves, take up their cross every day, and follow me.|Keeps the universal audience, self-denial, cross, Luke’s “daily,” and continued following.
9:24|For whoever wants to save their life will lose it, but whoever loses their life because of me will save it.|Retains the repeated life/save/lose paradox and its cause.
9:25|What does it benefit someone to gain the whole world but lose or forfeit themselves?|Keeps the whole-world contrast and Luke’s reflexive “self.”
9:26|Whoever is ashamed of me and my words, the Son of Man will be ashamed of that person when he comes in his glory and the glory of the Father and of the holy angels.|Preserves reciprocal shame and the threefold glory relationship.
9:27|Truly I tell you, some standing here will certainly not taste death before they see the kingdom of God.”|Keeps the emphatic negation, death image, and unresolved time statement.
9:28|About eight days after these sayings, Jesus took Peter, John, and James and went up the mountain to pray.|Retains Luke’s approximate eight days, named order, mountain, and prayer purpose.
9:29|As he was praying, the appearance of his face changed, and his clothing became dazzling white.|Keeps transformation during prayer and the visual clothing description.
9:30|Suddenly two men were talking with him: Moses and Elijah.|Retains their identity and description as two men.
9:31|They appeared in glory and spoke about his departure, which he was about to fulfill in Jerusalem.|Renders exodos as departure while retaining fulfillment and Jerusalem.
9:32|Peter and those with him were weighed down with sleep, but when they became fully awake they saw Jesus’ glory and the two men standing with him.|Keeps heavy sleep, awakening, glory, and the two figures.
9:33|As the men were leaving Jesus, Peter said to him, “Master, it is good for us to be here. Let us make three shelters: one for you, one for Moses, and one for Elijah.” He did not know what he was saying.|Preserves the timing, three shelters, names, and narrator’s assessment.
9:34|While he was saying this, a cloud came and overshadowed them. They were afraid as they entered the cloud.|Keeps the cloud’s active covering and the disciples’ fear on entering.
9:35|A voice came from the cloud, saying, “This is my Son, my Chosen One. Listen to him!”|Retains the pinned reading “Chosen One” and the command to listen.
9:36|When the voice had spoken, Jesus was found alone. The disciples kept silent and, in those days, told no one anything they had seen.|Keeps Jesus alone, the disciples’ silence, and its time frame.
9:37|The next day, when they came down from the mountain, a large crowd met Jesus.|Preserves the next-day sequence and descent.
9:38|A man in the crowd shouted, “Teacher, I beg you to look at my son, because he is my only child.|Keeps the father’s loud plea and only-child status.
9:39|A spirit seizes him, and he suddenly screams. It convulses him until he foams and scarcely leaves him, crushing him as it goes.|Names the boy’s violent suffering without softening or importing a diagnosis.
9:40|I begged your disciples to drive it out, but they could not.”|Keeps the father’s prior appeal and the disciples’ inability.
9:41|Jesus answered, “You unbelieving and corrupt generation! How long must I be with you and put up with you? Bring your son here.”|Retains the collective rebuke, two questions, and command to the father.
9:42|Even while the boy was approaching, the demon threw him down and convulsed him. But Jesus rebuked the unclean spirit, healed the child, and gave him back to his father.|Keeps the continuing harm, exorcism, healing, and restoration to the father.
9:43|Everyone was astonished at the majesty of God. While they were all marveling at everything Jesus was doing, he said to his disciples,|Preserves divine majesty, universal wonder, and turn to private teaching.
9:44|“Let these words sink into your ears: The Son of Man is about to be handed over into human hands.”|Retains the vivid hearing idiom, impending betrayal, and repeated “human.”
9:45|But they did not understand this saying. Its meaning was concealed from them so they could not grasp it, and they were afraid to ask him about it.|Keeps ignorance, concealment, purpose/result, and fear.
9:46|An argument arose among the disciples about which of them would be the greatest.|Renders their internal reasoning as dispute while retaining comparative greatness.
9:47|But Jesus knew the reasoning in their hearts. He took a child and had the child stand beside him.|Keeps Jesus’ knowledge, heart location, and placement of a child.
