1:1|The vision of Obadiah.\nThis is what the Lord GOD says concerning Edom:\nWe have heard a report from the LORD;\na messenger has been sent among the nations:\n“Rise! Let us rise against her for battle!”|Preserves vision heading, plural we, divine titles, and the messenger's mobilizing words.
1:2|“Look, I have made you small among the nations;\nyou are deeply despised.|Retains completed-form abasement and the direct address to Edom.
1:3|The pride of your heart has deceived you,\nyou who live in clefts of rock,\nwhose dwelling is high,\nwho say in your heart, ‘Who can bring me down to the ground?’|Keeps heart repeated, rock/high dwelling, and the boast's downward challenge.
1:4|Even if you soar like an eagle\nand set your nest among the stars,\nI will bring you down from there,” declares the LORD.|Answers the boast through the same bring-down verb and cosmic nesting image.
1:5|If thieves came to you, if robbers came by night—\nhow utterly you have been destroyed!—\nwould they not steal only enough for themselves?\nIf grape pickers came to you,\nwould they not leave gleanings?|Retains the interrupted exclamation and the two comparisons with incomplete ordinary plunder.
1:6|How Esau has been searched through,\nhis hidden treasures hunted out!|Preserves the Esau name and thorough searching rather than a vague loss of wealth.
1:7|All your allies have driven you to the border.\nYour trusted friends have deceived and overpowered you.\nThose who share your bread set a trap beneath you.\nThere is no understanding in him.|Makes the bread partners intelligible while preserving the final third-person shift and obscure trap term.
1:8|“On that day,” declares the LORD,\n“will I not destroy the wise from Edom\nand understanding from Esau’s mountain?|Keeps rhetorical question and parallel wise/understanding loss.
1:9|Your warriors will be terrified, Teman,\nso that everyone on Esau’s mountain\nwill be cut off in the slaughter.|Preserves Teman address and explicit slaughter rather than mere military defeat.
1:10|Because of violence against your brother Jacob,\nshame will cover you,\nand you will be cut off forever.|Keeps fraternal relationship as the charge's force and repeated cut-off judgment.
1:11|On the day you stood aside,\non the day strangers carried off his wealth\nand foreigners entered his gates\nand cast lots for Jerusalem,\nyou too were like one of them.|Retains repeated day, read plural gates, and complicity without claiming all violence was directly committed by Edom.
1:12|Do not gloat over your brother’s day,\nthe day of his calamity.\nDo not rejoice over Judah’s people on the day they perish;\ndo not boast on the day of distress.|Keeps prohibitive form rather than silently changing to past should-not-have and preserves day refrain.
1:13|Do not enter my people’s gate on the day of their disaster.\nDo not gloat over his suffering on the day of his disaster.\nDo not reach for his wealth on the day of his disaster.|Retains the three repeated disaster clauses and possession shifts.
1:14|Do not stand at the crossroads to cut down his fugitives;\ndo not hand over his survivors on the day of distress.|Keeps interception and betrayal as separate actions against escapees.
1:15|For the day of the LORD is near for all the nations.\nAs you have done, it will be done to you;\nyour repayment will return upon your own head.|Preserves widening from Edom to nations and the head image of recompense.
1:16|Just as you drank on my holy mountain,\nall the nations will drink continually.\nThey will drink and gulp down\nand become as though they had never been.|Keeps shift to plural you and the ambiguous drinking image, not specifying celebratory or judgment drink in text.
1:17|But on Mount Zion there will be deliverance,\nand it will be holy.\nThe house of Jacob will possess its possessions.|Retains possession root repetition and holy mountain rather than modern territorial gloss.
1:18|The house of Jacob will be fire,\nthe house of Joseph a flame,\nand the house of Esau stubble.\nThey will burn through them and consume them;\nno survivor will remain of the house of Esau.”\nFor the LORD has spoken.|Preserves the three houses, destructive fire metaphor, and complete stated outcome.
1:19|The people of the Negev will possess Esau’s mountain,\nand the people of the foothills the Philistine country.\nThey will possess the territory of Ephraim and Samaria,\nand Benjamin will possess Gilead.|Supplies people for regional subjects and retains every territorial pairing.
1:20|The exiles of this company of Israelites\nwill possess the Canaanites’ land as far as Zarephath,\nand the exiles of Jerusalem who are in Sepharad\nwill possess the cities of the Negev.|Uses company for obscure hel and supplies land to the elliptical possession clause; leaves Sepharad unidentified.
1:21|Deliverers will go up on Mount Zion\nto judge Esau’s mountain,\nand the kingship will belong to the LORD.|Follows pointed active deliverers rather than rescued ones and preserves final divine kingship.
