17:1|F2|The Philistines gathered their armies for war at Socoh in Judah. They camped between Socoh and Azekah, at Ephes-dammim.|Makes the gathering and camp locations distinct without collapsing the place names.
17:2|F2|Saul and the men of Israel gathered and camped in the Valley of Elah. They formed their battle lines facing the Philistines.|Separates encampment from military formation and retains valley name.
17:3|F2|The Philistines stood on one hillside and Israel on the other, with the valley between them.|Keeps the opposing slopes and intervening valley clear.
17:4|F3|A champion came out from the Philistine camps. His name was Goliath, from Gath, and he stood six cubits and a span tall.|Retains the pinned height and ancient units; champion renders the man between the armies.
17:5|F2|He wore a bronze helmet and a coat of scale armor. The bronze armor weighed five thousand shekels.|Keeps the armor type, material and weight without an exact modern conversion.
17:6|F2|Bronze greaves covered his legs, and a bronze javelin rested between his shoulders.|Preserves the equipment and its position rather than merging javelin and spear.
17:7|F2|His spear shaft was like a weaver’s beam, and its iron head weighed six hundred shekels. A shield-bearer walked ahead of him.|Follows the qere shaft and retains the textile image, iron and separate shield-bearer.
17:8|F2|He stood and shouted to Israel’s ranks, “Why come out and form battle lines? Am I not the Philistine, and are you not Saul’s servants? Choose a man and let him come down to me.|Keeps the taunting contrast of the Philistine with Saul’s servants.
17:9|F2|If he can fight me and kill me, we will be your slaves. But if I defeat him and kill him, you will be our slaves and serve us.”|Preserves both conditional outcomes and the actual enslavement at stake.
17:10|F2|The Philistine said, “Today I defy Israel’s ranks! Give me a man, and let us fight.”|Carries the repeated defiance and singular combat challenge.
17:11|F2|When Saul and all Israel heard the Philistine’s words, they were shattered and terrified.|Preserves both dismay and intense fear in direct English.
17:12|F3|David was the son of an Ephrathite from Bethlehem in Judah named Jesse. Jesse had eight sons and was already an old man in Saul’s time.|Keeps the fresh introduction and eight sons; difficult age phrase is noted.
17:13|F2|Jesse’s three oldest sons had gone to war with Saul: Eliab the firstborn, Abinadab the second, and Shammah the third.|Keeps all three names and birth order.
17:14|F2|David was the youngest. The three oldest followed Saul,|Retains the repeated age contrast and lets the sentence continue.
17:15|F2|while David went back and forth from Saul to tend his father’s flock at Bethlehem.|Clarifies repeated travel without harmonizing the later recognition scene.
17:16|F2|For forty days the Philistine came forward, taking his stand morning and evening.|Preserves duration and twice-daily challenge.
17:17|F2|Jesse told his son David, “Take this ephah of roasted grain and these ten loaves to your brothers. Hurry them to the camp.|Retains the grain measure, preparation and ten loaves.
17:18|F3|Take these ten portions of cheese to their commander of a thousand. Find out how your brothers are and bring back a token from them.|Keeps the commander's rank and difficult pledge/token expression, flagged in a note.
17:19|F3|They are with Saul and all the men of Israel in the Valley of Elah, fighting the Philistines.”|Keeps Jesse’s explanation within his speech. The Hebrew can also be read as a return to the narrator; the note preserves this speaker uncertainty.
17:20|F2|David got up early, left the flock with a keeper, and carried off the supplies as Jesse had instructed. He reached the camp enclosure as the army was marching out to its lines, raising the battle cry.|Tracks care of flock, obedience, arrival and army movement in order.
17:21|F2|Israel and the Philistines drew up their lines, army facing army.|Preserves the repeated face-to-face formation.
