1:1|Since many have undertaken to put together an account of the events fulfilled among us,|Preserve the formal opening and fulfillment language rather than reduce the events to reported facts.
1:2|drawing on what was handed down to us by those who were eyewitnesses from the beginning and became servants of the word.|Keep both roles of the transmitters and the word as the object of their service.
1:3|I too decided, after carefully investigating everything from the beginning, to write an orderly account for you, most excellent Theophilus,|Make the author's investigation and decision clear while retaining the formal address and orderly claim.
1:4|so that you may know how reliable the things you have been taught are.|Retain the stated purpose of assurance without supplying an unstated social identity for the recipient.
1:5|In the days when Herod was king of Judea, there was a priest named Zechariah from the division of Abijah. His wife, Elizabeth, was also descended from Aaron.|Keep the reign, priestly division, and both family connections in two readable sentences.
1:6|Both were righteous before God, living blamelessly according to all the Lord's commandments and requirements.|Preserve the narrator's positive assessment and both kinds of divine instruction.
1:7|But they had no child, because Elizabeth was unable to conceive, and both were advanced in years.|Retain the narrator's explanation and their shared age without turning childlessness into a moral judgment.
1:8|Once, when Zechariah's division was on duty and he was serving as priest before God,|Make the priest the explicit subject while allowing the lot-selection sentence to continue.
1:9|he was chosen by lot, according to priestly custom, to enter the Lord's sanctuary and burn incense.|Keep the selection method, customary practice, and specific sanctuary task.
1:10|At the hour of incense, the whole gathering of people was outside praying.|Retain the parallel action outside and the ritual time marker.
1:11|An angel of the Lord appeared to him, standing to the right of the incense altar.|Keep the visible messenger and exact position without importing the messenger's name before its disclosure.
1:12|Zechariah was shaken at the sight, and fear came over him.|Preserve the twofold reaction in natural English rather than soften fear into curiosity.
1:13|The angel said, “Do not be afraid, Zechariah. Your prayer has been heard. Your wife Elizabeth will bear you a son, and you are to name him John.|Retain the answered-prayer passive, both names, the promised son, and naming command.
1:14|He will bring you joy and gladness, and many will rejoice at his birth,|Keep personal and wider rejoicing linked to the birth rather than add a future public event.
1:15|for he will be great before the Lord. He must never drink wine or strong drink, and he will be filled with the Holy Spirit even from his mother's womb.|Preserve the abstention and prenatal Spirit filling without assigning an unstated vow category.
1:16|He will turn many of the people of Israel back to the Lord their God.|Render Israel's sons collectively while keeping many and the direction of return.
1:17|He will go before the Lord in Elijah's spirit and power, turning fathers' hearts toward their children and the disobedient toward the wisdom of the righteous, to make a people ready for the Lord.”|Clarify the Lord as the preceding pronoun's referent; retain fathers, Elijah, and the two kinds of turning.
1:18|Zechariah asked the angel, “How can I be sure of this? I am an old man, and my wife is advanced in years.”|Keep the question about assurance and both age statements as the grounds Zechariah gives.
1:19|The angel answered, “I am Gabriel. I stand in God's presence, and I was sent to speak to you and bring you this good news.|Retain self-identification, divine presence, and the sending passive without conflating the messenger and sender.
1:20|But now you will be silent, unable to speak until the day these things happen, because you did not believe my words. They will be fulfilled at their appointed time.”|Make the consequence and its stated cause clear, preserving the time-bound inability and fulfillment promise.
1:21|Meanwhile, the people were waiting for Zechariah and wondering why he stayed so long in the sanctuary.|Clarify the simultaneous outside scene and the reason for the people's wonder.
1:22|When he came out, he could not speak to them. They realized that he had seen a vision in the sanctuary. He kept making signs to them but remained unable to speak.|Resolve repeated pronouns and preserve their inference and his continued gestures without diagnosing deafness.
1:23|When his period of service ended, he went home.|Express the completed days of duty naturally without specifying a duration absent here.
1:24|Afterward his wife Elizabeth conceived. She kept herself out of sight for five months, saying,|Keep conception, deliberate seclusion, and the exact period without inventing a motive.
1:25|“This is what the Lord has done for me. He has looked on me with favor and taken away my disgrace among people.”|Retain Elizabeth's own interpretation and social disgrace as her speech rather than a judgment on infertility.
1:26|In the sixth month, God sent the angel Gabriel to Nazareth, a town in Galilee,|Retain the pregnancy-linked chronology and both geographical identifiers.
1:27|to a virgin pledged in marriage to a man named Joseph, of David's house. The virgin's name was Mary.|Preserve virgin, the binding marriage pledge, Joseph's Davidic connection, and Mary's introduction.
1:28|The angel came to her and said, “Greetings, favored one! The Lord is with you.”|Retain favor as something received and omit an additional blessing absent from the pinned text.
1:29|She was deeply troubled by his words and wondered what kind of greeting this could be.|Keep words rather than sight as the stated source of disturbance and retain her reflection.
1:30|The angel told her, “Do not be afraid, Mary, for you have found favor with God.|Keep the assurance, name, and favor as its reason.
1:31|You will conceive and bear a son, and you are to name him Jesus.|Retain the promise and naming instruction without adding an explanation of the name here.
1:32|He will be great and will be called Son of the Most High. The Lord God will give him the throne of his ancestor David,|Keep both titles and the throne promise while rendering ancestral father naturally.
1:33|and he will reign over the house of Jacob forever. His kingdom will have no end.”|Preserve Israel's ancestral house, perpetual reign, and the emphatic second assurance.
1:34|Mary asked the angel, “How will this happen, since I have not been with a man?”|Render the sexual knowing idiom naturally while preserving Mary's question about how, distinct from Zechariah's assurance question.
1:35|The angel answered, “The Holy Spirit will come upon you, and the power of the Most High will overshadow you. Therefore the child to be born will be called holy, the Son of God.|Keep Spirit, power, overshadowing, and the explanatory therefore without supplying a physical mechanism.
1:36|And your relative Elizabeth has conceived a son in her old age. This is the sixth month for her, the one people called unable to conceive.|Retain the relative without specifying cousin and the sixth-month confirmation.
1:37|For no word from God will fail.”|Preserve word and the promise's effective power; record the broader nothing-is-impossible alternative in a note.
