5:1|One day, while the crowd pressed around Jesus to hear the word of God, he was standing beside Lake Gennesaret.|Keeps the crowd’s pressure, the divine-word purpose, and Luke’s lake name.
5:2|He saw two boats at the water’s edge. The fishermen had gotten out of them and were washing their nets.|Preserves the two boats and the fishermen’s completed-night activity.
5:3|Jesus got into one of the boats, which belonged to Simon, and asked him to put out a little from shore. Then he sat down and taught the crowds from the boat.|Clarifies the boat’s owner and the movement from shore to seated teaching.
5:4|When he finished speaking, he said to Simon, “Put out into deep water, and let down your nets for a catch.”|Retains the singular command to Simon followed by the plural command to the crew.
5:5|Simon answered, “Master, we worked hard all night and caught nothing. But because you say so, I will let down the nets.”|Keeps the failed night’s work and makes Simon’s trust rest on Jesus’ word.
5:6|When they did this, they enclosed such a large number of fish that their nets began to tear.|Preserves the enclosing catch and the progressive tearing of the nets.
5:7|They signaled to their partners in the other boat to come and help them. They came and filled both boats so full that they began to sink.|Names the partners, both boats, and the dangerous weight without minimizing it.
5:8|When Simon Peter saw this, he fell at Jesus’ knees and said, “Go away from me, Lord, because I am a sinful man.”|Keeps Luke’s full name, bodily posture, direct address, and self-description.
5:9|For astonishment had seized him and everyone with him because of the catch of fish they had taken.|Retains astonishment as the reason for Peter’s response and includes the whole crew.
5:10|James and John, the sons of Zebedee, Simon’s partners, were astonished too. Jesus said to Simon, “Do not be afraid. From now on you will be catching people alive.”|Preserves the named partners and the unusual life-catching force of zōgreō.
5:11|Then they brought the boats to shore, left everything, and followed him.|Keeps the complete movement and the cost expressed by “everything.”
5:12|While Jesus was in one of the towns, a man covered with leprosy saw him, fell facedown, and pleaded, “Lord, if you are willing, you can make me clean.”|Retains the ancient disease term, the man’s posture, and the distinction between ability and will.
5:13|Jesus reached out his hand and touched him. “I am willing,” he said. “Be made clean.” Immediately the leprosy left him.|Makes the touch and speech sequence clear while retaining cleansing language.
5:14|Then Jesus ordered him not to tell anyone: “Instead, go and show yourself to the priest, and offer what Moses commanded for your cleansing, as a testimony to them.”|Preserves secrecy, priestly examination, Mosaic offering, and the open referent of “them.”
5:15|But the news about Jesus spread even more, and large crowds gathered to hear him and to be healed of their illnesses.|Keeps both purposes for gathering and the intensifying spread of the report.
5:16|Yet Jesus would withdraw to deserted places and pray.|Retains Luke’s habitual pattern of withdrawal and prayer.
