1:1|F2|There was a man from Ramathaim-zophim in the hill country of Ephraim. His name was Elkanah, son of Jeroham, son of Elihu, son of Tohu, son of Zuph, an Ephraimite.|Keeps full ancestry and geographic identity while opening in two sentences.
1:2|F2|He had two wives, Hannah and Peninnah. Peninnah had children, but Hannah had none.|Preserves contrast without evaluating either woman.
1:3|F2|Year after year this man went up from his town to worship and sacrifice to the LORD of Armies at Shiloh. Eli’s two sons, Hophni and Phinehas, served there as priests of the LORD.|Preserves annual worship and introduces both priests by name.
1:4|F2|Whenever Elkanah offered a sacrifice, he gave portions to his wife Peninnah and to all her sons and daughters.|Retains daughters as well as sons and recurring distribution.
1:5|F3|But he gave Hannah a double portion, because he loved her, though the LORD had closed her womb.|Chooses double portion for obscure appayim, flagged in note; retains divine agency.
1:6|F2|Her rival kept provoking her, trying to upset her because the LORD had closed her womb.|Preserves intentional distress and repeated womb statement.
1:7|F2|This went on year after year. Whenever Hannah went up to the LORD’s house, her rival provoked her until she wept and would not eat.|Clarifies repeated annual situation and Hannah’s response.
1:8|F2|Her husband Elkanah said to her, “Hannah, why are you crying? Why will you not eat? Why is your heart so sad? Am I not better to you than ten sons?”|Keeps four questions and ten rather than smoothing husband’s claim.
1:9|F3|After the eating and drinking at Shiloh, Hannah got up. Eli the priest was sitting on his chair beside the doorpost of the LORD’s sanctuary.|Avoids forcing Hannah herself to have eaten against preceding narrative; preserves sanctuary doorpost.
1:10|F2|Bitterly distressed, she prayed to the LORD and wept and wept.|Retains intensified weeping and inner bitterness.
1:11|F2|She made a vow: “LORD of Armies, if you will truly look on your servant’s suffering and remember me, if you will not forget your servant but give her a son, I will give him to the LORD for his whole life. No razor will touch his head.”|Preserves repeated servant, remember/not forget, lifetime and razor vow.
1:12|F2|As she went on praying before the LORD, Eli watched her mouth.|Keeps duration and observation before misunderstanding.
1:13|F2|Hannah was speaking in her heart. Her lips moved, but no sound could be heard, so Eli thought she was drunk.|Preserves silent heart speech and observer’s mistaken inference.
1:14|F2|He said to her, “How long will you keep getting drunk? Put away your wine!”|Retains accusatory question and command.
